id,firstName,lastName,Password,StudentNo,Status,Birthdate
47,Blinnie,Gebby,1e443e1273a6c7182991c360156bdfec943fe07e,47,Not Active,7/5/1996
48,Alla,Knath,19e62d5a28105c793d2d7fcd62efe7902a487893,48,Not Active,8/14/2000
49,Ange,Huikerby,e62664a56cfd0d08c53ddcd9f19f0fad98d3412b,49,Active,3/26/1998
50,Melony,Swafield,580cabea9585bf6b15c119250dfdc8ba6eff835c,50,Not Active,11/25/2000
51,Wendell,Hebbard,b993da7cbaa200218ffee84a84d2cb264fe57cce,51,Active,8/10/2001
52,Rodge,Tesseyman,c34a3a0ac835b509511d89c81587d194a3cf6249,52,Not Active,12/1/1988
53,Gerladina,Snashall,e7fbb1ab2e5884298ff493fc9f49778f10d115e9,53,Active,4/12/2003
54,Barbabra,Poinsett,b3e5661b5efd2418a26796342ff93326c81ff695,54,Not Active,2/17/1989
55,Saunder,De Vuyst,5056ae743b0866ba67dfcf8090537939ae282713,55,Not Active,2/16/2001
56,Jami,Firsby,86099313549f71b5693b1b1eef3cad1339867c86,56,Not Active,5/7/1993
57,Jareb,Burnip,56ee106abcee756ae8d0e17d188754e9eb16780c,57,Active,10/15/1993
58,Estrella,Sausman,8555af6b5c4821cbc1e32dab5e4b82b8f2e999c0,58,Not Active,1/24/1987
59,Leonelle,Arnke,460ea318ca51fdead18b371132fa4b86c7b3e7f7,59,Not Active,10/16/1995
60,Hattie,Seage,d91e4424079b01c7bb6ecf2fc9af0581c9df5d12,60,Not Active,5/30/1999
61,Quintin,Kennington,6e44b940d79cf307e59e81553a9f721c6fda4b87,61,Active,4/28/1995
62,Crystie,Yantsev,b1fd73c859573b25c95a5ba4d4f75d10ef1a17ce,62,Active,10/30/1986
63,Ozzy,Sutterfield,a203f85792407c2726c2d811419853adf43b47ef,63,Active,2/1/1988
64,Rowena,Adney,c20c2f76b6d974db8f923626f0c11a98f818001c,64,Not Active,4/13/1992
65,Bea,Srawley,0c0931532b25284b56479bf0b2f776170c6e4431,65,Active,8/28/1997
66,Felicle,Lagadu,0b4af9c39165fb3a7c808500213173bc34a6a8e4,66,Active,6/22/1986
67,Nollie,Gibling,f6f87dd0b93c804cd3380783909a826d9cae487d,67,Not Active,12/11/1987
68,Gus,Beauchop,6a3ef4a8fa780b16347d8b17cf2320854bae24af,68,Active,12/7/1988
69,Brier,Gepheart,9606bcc7509786974e8d66cfb0f0323ba7e601b3,69,Not Active,4/21/1998
70,Fax,Burchess,ac0f4fb3de6984e8ac8a06bd91266590638a690c,70,Not Active,9/25/1989
71,Antoine,O'Dogherty,49793fcd390028fa6b5a1205d6c1d7eebca15910,71,Not Active,11/14/1991
72,Perry,Poltone,e89ce498a8227660cbede446e448995c8a4f3683,72,Active,1/5/2000
73,Bernelle,Franks,a105518788fa3d3550f63b17815293d56a773bd6,73,Active,3/8/2001
74,Mercy,Locket,871012991a92d737d290d10ef6bf9a0f88b379cf,74,Not Active,6/18/1999
75,Kirbie,Tower,4206f3d2e4adc481100333354b9bfb8cee580dcc,75,Active,8/5/1995
76,Murray,Ibbetson,74d4b3f5526593235d0e1a6650cef533b9e485ba,76,Active,11/7/2001
77,Dixie,Lawlie,02400fdbeb78b2e2b2f93f5cdd738328aada3a5f,77,Active,2/9/1995
78,Marge,Wroughton,30dc7ddc53460b49f77c75af5c40be583dae5edd,78,Active,4/29/1998
79,Vanny,Collyer,fcfd4627a584284e44c244febed5eb1a976cca35,79,Not Active,8/19/1991
80,Faunie,Weller,b4f447677cd1eb0ef855d7e42872cc6d0936bbe3,80,Not Active,11/15/1991
81,Hayyim,Resun,51f15097b9f9e93430f499430b5bb0fbee0b89be,81,Not Active,1/28/1996
82,Wandis,Cream,6aeb4d4ea512b3d45dd36f8fc9778a1c0b528e0a,82,Active,7/26/2004
83,Marley,Morfell,12f90d6c96dfb31e34545ee46855f0ad1c4414eb,83,Not Active,5/9/1997
84,Malina,Spilling,fc01931a9f5e44d95195f82511fc488b8ff03533,84,Active,10/3/1991
85,Nathaniel,McQuilty,290d368d1cc3f348e3bf4a5547e36c937051f70f,85,Active,4/23/1985
86,Torin,Salterne,bdd3d44898d214ffab2c56864b027642dffad98e,86,Active,6/17/1986
87,Cleve,McCullogh,b49637f1163961c71d1499c3153b0d40c19d4dcf,87,Active,1/12/1988
88,Annaliese,Derdes,87d098c90541f1a8b22ac5e36d616d60da33ea33,88,Not Active,10/9/1996
89,Nicolea,Abrahmer,8cf2946c1fa1e56662e35c8bbea1e00bc67b5846,89,Not Active,2/7/1996
90,Averil,Dain,3e1c0bed93349dce119297fd8dea79cb026cad49,90,Not Active,8/4/1988
91,Coriss,Golsworthy,b22b60e69eb3fe64749a73a0e82275b27dc9b9ec,91,Active,3/11/1987
92,Duane,Matchett,958b54d38550ba2b621d922001be190e2de9a527,92,Active,3/12/1996
93,Robina,Densie,f101c807b40aa448d026da2fc0c050fd7173d48d,93,Not Active,12/16/1994
94,Lizabeth,Macura,6405cbef3ef918a9e39d2ca59d67f55c00a24106,94,Not Active,3/3/1995
95,Nollie,Pithcock,c004a3ed131844a8420374c51d125327262b8e20,95,Active,2/10/2002
96,Corney,Jurick,ddda88bc6f64c88d434431c14510d7be3cad9b18,96,Not Active,10/9/1993
97,Kriste,Dear,b86859599f6c9ab0b03e1c737031824d44f4014b,97,Active,5/15/1993
98,Sibel,Stell,a1af6f7e43a61c3394ced7112ce9a41c596f2f96,98,Active,8/4/2004
99,Abigail,Kears,b589ec29bdd253b0b90023977c1468d9c5d0514c,99,Not Active,2/20/1995
100,Kamila,Skudder,78687754b0e9dd7ab5f641fa03482309834c65e8,100,Not Active,7/17/1994
